epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.918349294207982,6.913006953125,0.148,0.572,1e-05
1,5.86354936816402,4.568087402038574,12.332,30.73,0.020008
2,4.9622416139923375,4.046566257019043,18.524,41.726,0.04000600000000001
3,4.720078735444939,4.031207212066651,19.258,42.356,0.06000400000000001
4,4.678860944448169,3.914969935760498,20.898,45.074,0.080002
5,4.704099985111818,4.0161995501708985,19.736,42.96,0.0993844170297569
6,4.646432001615263,3.9619686180114746,20.512,44.178,0.09911436253643445
7,4.617105950555526,4.094566304473877,19.71,42.136,0.09879583809693737
8,4.589421643924018,3.9271518446350098,21.258,45.06,0.09842915805643156
9,4.574244914134431,3.879229737701416,21.762,46.35,0.09801468428384716
10,4.561167306839997,3.8975264514160157,21.798,45.742,0.09755282581475769
11,4.55139766948089,3.8648012228393553,22.02,46.406,0.09704403844771128
12,4.537504823168075,4.037231305847168,20.39,43.054,0.09648882429441258
13,4.529057495576636,3.8572430462646485,22.078,46.662,0.09588773128419906
14,4.518614105440327,3.8103944131469727,23.058,47.466,0.09524135262330098
15,4.506294204324308,4.057187243347168,19.78,42.7,0.09455032620941839
16,4.498382698252123,3.8217437519836426,22.736,47.238,0.09381533400219318
17,4.491976173980001,3.978541440124512,21.04,44.686,0.09303710135019719
18,4.482465885202181,3.770010294342041,23.324,48.44,0.09221639627510075
19,4.473900340560767,3.8593197857666017,22.768,47.068,0.0913540287137281
20,4.466185731003604,4.089425470428467,19.568,42.022,0.09045084971874738
21,4.457125512021252,3.8085062873840334,23.328,47.712,0.08950775061878452
22,4.446259741850316,3.8158000143432615,22.988,47.294,0.08852566213878947
23,4.437371475854493,3.7507986360168455,24.0,48.668,0.08750555348152299
24,4.431491261322261,3.711152318572998,24.186,49.162,0.08644843137107058
25,4.417518451528505,3.7530958500671385,23.606,48.342,0.08535533905932738
26,4.40914511223251,3.73871652633667,24.474,49.544,0.08422735529643444
27,4.398793674727779,3.755961748504639,24.132,48.736,0.0830655932661826
28,4.386705887640424,3.7491404483032227,24.154,49.17,0.08187119948743449
29,4.37813577688661,3.7934292269897463,23.276,47.674,0.08064535268264883
30,4.366359726152812,3.7596529861450194,23.744,48.246,0.07938926261462367
31,4.357705778741661,3.8222825914001466,23.322,47.468,0.07810416889260655
32,4.343470784236006,3.585980928955078,26.224,51.522,0.07679133974894983
