epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.957098859496759,6.953335195159912,0.116,0.49,1e-05
1,6.791373444527748,6.4926646875,0.296,1.598,0.020008
2,6.221708228507353,5.411665078277588,4.024,13.926,0.04000600000000001
3,5.577923951895519,4.744698417358398,9.516,26.766,0.06000400000000001
4,5.235665285762391,4.311799081878662,14.372,35.796,0.080002
5,4.965444465964595,4.094257911682129,17.456,40.498,0.0993844170297569
6,4.6928508848871955,3.7097260313415528,23.14,48.692,0.09911436253643445
7,4.498661043737089,3.6272706474304197,24.72,50.48,0.09879583809693737
8,4.366372440349378,3.4479837759399414,28.084,54.374,0.09842915805643156
9,4.251259626095464,3.3699332246398925,29.09,55.886,0.09801468428384716
10,4.157579709819199,3.2310253312683104,31.894,58.106,0.09755282581475769
11,4.082887636006134,3.2917208839416503,30.672,56.996,0.09704403844771128
12,4.022543536186314,3.0557962228393554,34.696,61.558,0.09648882429441258
13,3.9684098103935157,3.011640395050049,35.174,62.384,0.09588773128419906
14,3.9190567942310706,2.920368498535156,36.802,63.774,0.09524135262330098
15,3.8793967312801274,2.8790138694763185,37.722,64.67,0.09455032620941839
16,3.844323905629823,3.0140844299316405,34.862,62.086,0.09381533400219318
17,3.8099317818400693,2.8376231149291993,38.554,65.536,0.09303710135019719
18,3.7791472138528617,2.8538346157836916,37.948,65.196,0.09221639627510075
19,3.7531788747429027,2.734033156738281,40.342,67.296,0.0913540287137281
20,3.7291756429947607,2.8601936378479005,38.286,64.952,0.09045084971874738
21,3.7112043932465864,2.7165651914978026,41.054,67.75,0.08950775061878452
22,3.6920642681990796,2.7388647219848634,40.296,67.212,0.08852566213878947
23,3.6745521844546984,2.864208532409668,38.45,64.878,0.08750555348152299
24,3.6555958096946983,2.6955980767822267,41.01,68.094,0.08644843137107058
25,3.642085618460163,2.6657320973205567,41.85,68.42,0.08535533905932738
26,3.625808843712145,2.681741861114502,41.492,68.428,0.08422735529643444
27,3.6138958538408725,2.64953092956543,42.012,68.918,0.0830655932661826
28,3.5977640961633597,2.5957870877075195,43.196,69.628,0.08187119948743449
29,3.5833837908337864,2.587337010345459,43.3,69.976,0.08064535268264883
30,3.5724699899311583,2.5681334783935545,43.744,70.252,0.07938926261462367
31,3.5584448886710884,2.6215707395935057,42.774,69.16,0.07810416889260655
32,3.5461961511775253,2.5547374127197267,44.168,70.842,0.07679133974894983
33,3.5336951085625263,2.5193429585266114,44.49,71.28,0.07545207078751857
34,3.5223145580205997,2.507142422027588,44.868,71.264,0.07408768370508577
35,3.509495806796459,2.55097977935791,44.01,70.512,0.07269952498697733
36,3.4988652000490132,2.5563536990356446,43.768,70.502,0.07128896457825364
37,3.486042020084832,2.504889377822876,44.934,71.558,0.06985739453173903
38,3.4741781241220364,2.4214049809265137,46.49,72.778,0.06840622763423392
39,3.461953987595513,2.415731934814453,46.564,72.908,0.06693689601226459
40,3.4503371922068693,2.490422897186279,45.124,71.576,0.06545084971874737
41,3.441117849034593,2.4604285415649416,45.854,71.99,0.06394955530196147
42,3.431706132773503,2.40844920501709,46.834,73.058,0.062434494358242734
43,3.418147834129345,2.4824759018707274,45.446,71.782,0.06090716206982714
44,3.405881210454445,2.4180630783081054,46.54,72.828,0.05936906572928624
45,3.395113618119707,2.3866880921936033,47.226,73.116,0.05782172325201155
46,3.382713191337025,2.32531673576355,48.246,74.336,0.05626666167821523
47,3.3728566018717308,2.411652309951782,46.688,73.02,0.05470541566592572
48,3.3601610327543514,2.3068759645080568,48.81,74.716,0.05313952597646568
49,3.349516177441836,2.2851871515655517,49.352,74.854,0.05157053795390642
50,3.3390433042482224,2.2978102576446533,48.768,74.806,0.05
51,3.326056522498396,2.3506738774871825,48.342,73.768,0.04842946204609359
52,3.3154152046372833,2.2617031004333494,49.894,75.438,0.04686047402353433
53,3.305667328636824,2.367357625350952,47.764,73.498,0.04529458433407429
54,3.292113174007232,2.260318530883789,49.536,75.204,0.0437333383217848
55,3.2805142216611447,2.237919237365723,50.178,75.642,0.042178276747988463
56,3.267465802717785,2.2137726317596433,50.758,76.006,0.04063093427071377
57,3.2570558494949378,2.2241478526306153,50.39,75.886,0.03909283793017289
58,3.2448689479524884,2.2006395207214355,50.77,76.268,0.03756550564175726
59,3.2313070091194582,2.142117292327881,51.83,77.268,0.036050444698038545
60,3.2202946809112567,2.167790582962036,51.564,76.874,0.03454915028125265
61,3.2069896616436933,2.1901329724121092,50.932,76.45,0.03306310398773543
62,3.1964226027256317,2.15851340385437,51.702,77.122,0.03159377236576612
63,3.183822074128455,2.1373687534332277,52.014,77.498,0.030142605468260964
64,3.1711985990114773,2.1271093855285645,52.62,77.454,0.02871103542174637
65,3.1566326402857987,2.163676908416748,51.61,76.976,0.027300475013022664
66,3.1447735868713718,2.103835827255249,53.002,77.792,0.02591231629491423
67,3.133880995598834,2.0745893282318115,53.306,78.474,0.024547929212481435
68,3.12274600359238,2.048136487121582,53.88,78.648,0.02320866025105016
69,3.1070043788898096,2.0208303533935545,54.374,79.11,0.021895831107393467
70,3.093339460619514,2.0270577491760253,54.59,79.114,0.02061073738537635
71,3.079767876731872,2.02687433883667,54.544,78.996,0.019354647317351172
72,3.0680919177811607,2.010939013900757,54.77,79.242,0.018128800512565515
73,3.0534924398186516,1.9888020039367675,55.082,79.596,0.016934406733817416
74,3.0390132126458957,1.9576842418670655,55.996,80.102,0.015772644703565566
75,3.025456330006577,1.9590423014068603,56.072,79.996,0.014644660940672627
76,3.0130215549888235,1.9046106476593017,56.856,80.686,0.013551568628929435
77,2.997132940575345,1.9543526065063477,55.818,80.028,0.012494446518477021
78,2.9831964976542933,1.9028436568450928,57.19,80.854,0.011474337861210543
79,2.9690132778309506,1.9008384565734864,57.194,80.902,0.01049224938121548
80,2.9541489155407565,1.8701458072662354,57.692,81.296,0.009549150281252633
81,2.939616923851976,1.8618020895385743,57.98,81.498,0.008645971286271915
82,2.9240313591043816,1.8393902101898194,58.362,81.686,0.007783603724899258
83,2.9084688875627323,1.816799903869629,58.77,82.182,0.006962898649802813
84,2.894530106191095,1.8177247707366944,59.104,82.322,0.006184665997806821
85,2.8803028050139776,1.7849860181427002,59.292,82.488,0.005449673790581611
86,2.8656892787684853,1.7666834349822997,59.98,82.868,0.004758647376699033
87,2.8521794319772162,1.7691583003997802,59.876,82.992,0.004112268715800955
88,2.8358137603763196,1.7545721752929688,60.244,83.03,0.0035111757055874327
89,2.8216570325754824,1.7334872106933594,60.552,83.454,0.0029559615522887273
90,2.807230223164905,1.723409917449951,60.75,83.482,0.0024471741852423235
91,2.793102053522123,1.713918466644287,61.078,83.694,0.0019853157161528524
92,2.77964836043999,1.6991260914611817,61.316,83.896,0.0015708419435684518
93,2.7700279232552627,1.6836121759796143,61.686,84.14,0.0012041619030626338
94,2.7582193024092496,1.680958606262207,61.76,84.168,0.000885637463565564
95,2.7487176589430335,1.675910936126709,62.08,84.16,0.0006155829702431171
96,2.741902508189216,1.6686036294555664,62.046,84.33,0.0003942649342761118
97,2.735371881436963,1.664509750366211,62.168,84.342,0.0002219017698460002
98,2.7319849107229506,1.6607643772888183,62.298,84.39,9.866357858642206e-05
99,2.7287660826096967,1.6602682851409911,62.15,84.408,2.467198171342e-05
