epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,7.49468203783869,7.410303750305176,0.088,0.494,1e-05
1,5.977235933178632,4.786800721282959,12.57,29.72,0.020008
2,5.019388963678569,3.97172354309082,22.19,44.49,0.04000600000000001
3,4.515280824808561,3.5620065281677245,28.584,52.796,0.06000400000000001
4,4.22985300163561,3.195036760253906,34.048,59.134,0.080002
5,4.0675249203588475,3.007520180358887,36.74,62.598,0.0993844170297569
6,3.9018912605739566,2.9483404594421385,38.058,63.62,0.09911436253643445
7,3.7974780607275918,2.8039263928222655,40.296,66.234,0.09879583809693737
8,3.720445411047362,2.7053558976745604,41.65,67.272,0.09842915805643156
9,3.6666277991104392,2.8182772137451173,40.2,66.152,0.09801468428384716
10,3.6200983897588483,2.618566007232666,43.658,69.292,0.09755282581475769
11,3.582489607729318,2.643285193710327,42.874,68.522,0.09704403844771128
12,3.5538072153480753,2.543662331542969,44.746,70.348,0.09648882429441258
13,3.529243102642025,2.57291277923584,44.694,70.22,0.09588773128419906
14,3.5057956288179826,2.5240262411499024,45.81,71.054,0.09524135262330098
15,3.487219158854443,2.471413673248291,46.612,71.834,0.09455032620941839
16,3.468560297061113,2.4228391047668456,47.028,72.158,0.09381533400219318
17,3.4497135966816725,2.3894762144470216,48.126,73.092,0.09303710135019719
18,3.433338716368609,2.5029377326965334,45.812,71.066,0.09221639627510075
19,3.4182461671555764,2.434571201171875,46.75,72.102,0.0913540287137281
20,3.4060929064770202,2.440925302886963,46.676,72.17,0.09045084971874738
21,3.394418644207152,2.3764641162872313,48.348,73.2,0.08950775061878452
22,3.384058436690921,2.4113330107116697,47.442,72.59,0.08852566213878947
23,3.3733938547599944,2.383248784942627,48.762,73.492,0.08750555348152299
24,3.362517482692015,2.383286202850342,48.006,73.084,0.08644843137107058
25,3.3514524032119413,2.343225368118286,49.092,73.734,0.08535533905932738
26,3.341274535814381,2.430616678314209,47.8,72.916,0.08422735529643444
27,3.33125465615835,2.366450124664307,48.222,73.278,0.0830655932661826
28,3.321064386826103,2.3784977127075195,48.074,73.064,0.08187119948743449
29,3.3126046002262513,2.3408635334777834,48.86,73.88,0.08064535268264883
30,3.302060750400476,2.3262033670043945,49.442,74.248,0.07938926261462367
31,3.290200392127287,2.289950492019653,49.802,74.82,0.07810416889260655
32,3.2802104370876775,2.259653074493408,50.518,75.16,0.07679133974894983
33,3.2713341177230424,2.418032901382446,47.986,72.398,0.07545207078751857
34,3.262384324822229,2.2751407599639895,51.202,75.21,0.07408768370508577
35,3.252508664443212,2.224341232070923,50.854,75.346,0.07269952498697733
36,3.242891254667064,2.272536970367432,50.612,74.956,0.07128896457825364
37,3.2346386675091936,2.3357399348449706,49.798,74.15,0.06985739453173903
38,3.2251648256168677,2.2457263926696776,51.034,75.334,0.06840622763423392
39,3.2141653595776787,2.209115897216797,51.514,75.762,0.06693689601226459
40,3.205837041851238,2.2114819756317137,51.404,76.192,0.06545084971874737
41,3.1953128404652564,2.2134751845550538,51.646,75.964,0.06394955530196147
42,3.1884084302403135,2.1974621574401856,51.62,75.82,0.062434494358242734
43,3.1801837124968877,2.2305760370635985,51.026,75.566,0.06090716206982714
44,3.1705602560739843,2.1901094327545167,52.206,76.456,0.05936906572928624
45,3.158257121627225,2.1514034131622313,53.036,77.068,0.05782172325201155
46,3.150184372467337,2.170256932678223,52.296,76.73,0.05626666167821523
47,3.1406005648945414,2.103530997543335,53.35,77.478,0.05470541566592572
48,3.130283696845119,2.086847679824829,54.068,77.734,0.05313952597646568
49,3.118357144865626,2.075703168029785,54.258,77.996,0.05157053795390642
50,3.1080269358567585,2.150796923599243,52.894,76.924,0.05
51,3.0980192180017645,2.0879176863098143,54.22,78.22,0.04842946204609359
52,3.0845006010560727,2.100385407180786,53.774,77.818,0.04686047402353433
53,3.0752548704329326,2.0568590725708007,54.824,78.296,0.04529458433407429
54,3.0634813892792505,2.1602543563079832,52.844,76.76,0.0437333383217848
55,3.052754329293981,2.052186420211792,54.998,78.55,0.042178276747988463
56,3.042754492972659,2.0471489004516603,54.67,78.298,0.04063093427071377
57,3.030923644935874,2.0157609169006347,55.694,78.89,0.03909283793017289
58,3.0207340696830114,2.030302450027466,55.194,78.638,0.03756550564175726
59,3.010695653976957,1.9826458920288086,56.122,79.572,0.036050444698038545
60,2.9978473019273575,1.9800529320526123,56.064,79.372,0.03454915028125265
61,2.9883533034580476,1.9916081400299073,55.93,79.348,0.03306310398773543
62,2.9728497083233076,1.972700668182373,56.404,79.532,0.03159377236576612
63,2.963701846823729,1.9651186344909668,56.428,79.636,0.030142605468260964
64,2.9508052883906637,1.956024768447876,57.068,80.108,0.02871103542174637
65,2.9388320112290325,1.9277033573150635,57.76,80.41,0.027300475013022664
66,2.9281789767705235,1.9410083879852296,56.98,80.102,0.02591231629491423
67,2.916059943652794,1.9209704722595216,57.492,80.53,0.024547929212481435
68,2.9044366335937917,1.8872668447113037,58.136,80.744,0.02320866025105016
69,2.8931792085851296,1.8663855741882325,58.452,81.228,0.021895831107393467
70,2.87950660401332,1.865897805633545,58.372,81.186,0.02061073738537635
71,2.8685621458258064,1.8661248319244386,58.624,81.326,0.019354647317351172
72,2.8616154323461256,1.8302525134277343,59.048,81.61,0.018128800512565515
73,2.841756264328992,1.8058074897003173,59.68,82.064,0.016934406733817416
74,2.831301205331408,1.8294655211639403,59.14,81.658,0.015772644703565566
75,2.817379246869041,1.8282079312896728,59.644,81.884,0.014644660940672627
76,2.804373525980053,1.7937530256652832,60.016,82.336,0.013551568628929435
77,2.791577954072673,1.80886261177063,59.684,82.052,0.012494446518477021
78,2.7779635123909263,1.7758937629699707,60.408,82.56,0.011474337861210543
79,2.7651140468081747,1.768260258178711,60.642,82.348,0.01049224938121548
80,2.752403903333847,1.7404915370941163,60.898,83.118,0.009549150281252633
81,2.7373793848816934,1.7319188053894043,61.368,83.072,0.008645971286271915
82,2.7252667693899326,1.7133107411193849,61.594,83.49,0.007783603724899258
83,2.708004773943464,1.6894949788665772,61.936,83.724,0.006962898649802813
84,2.6962462841946353,1.6998410774993897,61.646,83.552,0.006184665997806821
85,2.6809464514297208,1.6834660743713379,62.45,83.858,0.005449673790581611
86,2.66696160320088,1.6758350258636474,62.584,83.962,0.004758647376699033
87,2.637356532895609,1.6460269660949707,62.866,84.356,0.004112268715800955
88,2.6269316708771235,1.6535718096923828,62.642,84.288,0.0035111757055874327
89,2.6130578415486014,1.6414296559143067,63.288,84.39,0.0029559615522887273
90,2.6011761070691284,1.6283936029815673,63.372,84.68,0.0024471741852423235
91,2.608789499518945,1.6127364966583253,63.854,84.802,0.0019853157161528524
92,2.59528244024081,1.6078520388031006,63.882,84.926,0.0015708419435684518
93,2.5835459794730427,1.5935639097595216,64.176,85.044,0.0012041619030626338
94,2.5733982832332463,1.589941664581299,64.43,85.184,0.000885637463565564
95,2.562325207071593,1.5791293544006348,64.49,85.23,0.0006155829702431171
96,2.556383533903692,1.582388038482666,64.468,85.396,0.0003942649342761118
97,2.5627882469425742,1.5683854196929932,64.618,85.426,0.0002219017698460002
98,2.5639209327360457,1.5700961153411865,64.624,85.44,9.866357858642206e-05
99,2.5630333415753763,1.5724568394470215,64.69,85.41,2.467198171342e-05
